doc_id,doc_type,supplier,port_id,country,route,amount,expected_amount,deviation,payment_terms,date,signals,status,anomaly_score,commodity,currency
LE-2026-00014,Letter of Credit,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-PAR,243426,233007,0.0447,Advance Payment,2026-03-23,,normal,0.237,Textiles & Garments,INR
CU-2025-00015,Customs Declaration,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-KND,60756,58831,0.0327,LC 60 Days,2025-11-18,,normal,0.181,Pharmaceuticals,INR
PU-2025-00016,Purchase Order,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-VIZ,636248,680827,-0.0655,Net 60,2025-11-14,,review,0.261,Agricultural Products,SGD
IN-2025-00017,Invoice,Durban Mining Corp.,ZA-DUR,ZA,ZA-DUR → IN-TUT,891420,765368,0.1647,Net 15,2025-06-04,Carrier change mid-route|Minor tariff reclassification,alert,0.665,Petroleum Products,USD
LE-2026-00018,Letter of Credit,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-KOL,145804,137072,0.0637,Advance Payment,2026-01-14,Minor deviation from baseline,review,0.326,Medical Devices,SGD
PU-2026-00019,Purchase Order,Yokohama Precision Instruments,JP-YOK,JP,JP-YOK → IN-PAR,280852,285440,-0.0161,Net 15,2026-01-15,,normal,0.063,Automobile Parts,USD
IN-2025-00020,Insurance Certificate,Ningbo Machinery Works,CN-NGB,CN,CN-NGB → IN-CHN,111371,104860,0.0621,Net 30,2025-06-17,,review,0.328,Medical Devices,INR
PA-2025-00021,Packing List,Ningbo Machinery Works,CN-NGB,CN,CN-NGB → IN-HAZ,88529,101351,-0.1265,LC at Sight,2025-10-28,Route surcharge detected|Cost overrun >10%|Insurance premium adjustment,alert,0.674,Electronics,EUR
CU-2026-00022,Customs Declaration,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-KOL,917736,728101,0.2605,Advance Payment,2026-03-17,Critical cost overrun >20%|Insurance premium spike|Expedited shipping requested,critical,1.0,Medical Devices,EUR
PA-2025-00023,Packing List,Shenzhen Micro-Tech Industries,CN-SZX,CN,CN-SZX → IN-VIZ,567590,572479,-0.0085,Net 15,2025-11-22,,normal,0.028,Textiles & Garments,EUR
LE-2025-00024,Letter of Credit,Busan Steel Trading Co.,KR-BUS,KR,KR-BUS → IN-MUN,244359,231906,0.0537,Net 15,2025-10-17,Seasonal adjustment,review,0.32,Machinery,SGD
BI-2025-00025,Bill of Lading,Shenzhen Micro-Tech Industries,CN-SZX,CN,CN-SZX → IN-MUN,141292,142415,-0.0079,Net 30,2025-10-09,,normal,0.043,Food Products,SGD
PU-2025-00026,Purchase Order,Shenzhen Micro-Tech Industries,CN-SZX,CN,CN-SZX → IN-VIZ,165573,158953,0.0416,Net 60,2025-11-29,,normal,0.212,Medical Devices,INR
PU-2026-00027,Purchase Order,Shenzhen Micro-Tech Industries,CN-SZX,CN,CN-SZX → IN-KND,671553,645414,0.0405,Net 60,2026-03-17,,normal,0.214,Machinery,INR
IN-2025-00028,Insurance Certificate,Rotterdam Chemicals BV,NL-RTM,NL,NL-RTM → IN-MUN,431511,433714,-0.0051,Net 15,2025-10-05,,normal,0.017,Electronics,INR
PU-2025-00029,Purchase Order,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-CHN,200750,307233,-0.3466,Net 30,2025-12-09,Expedited shipping requested|Insurance premium spike,critical,1.0,Electronics,USD
IN-2025-00030,Insurance Certificate,Yokohama Precision Instruments,JP-YOK,JP,JP-YOK → IN-VIZ,482413,379630,0.2707,Net 60,2025-07-21,Compliance review needed|Material substitution flagged,critical,0.916,Textiles & Garments,SGD
PA-2025-00031,Packing List,Dubai Petrochemicals LLC,AE-DXB,AE,AE-DXB → IN-KOL,244122,181709,0.3435,Net 60,2025-08-09,Insurance premium spike|Critical cost overrun >20%|Sanctions list match,critical,1.0,Automobile Parts,SGD
CU-2025-00032,Customs Declaration,Dubai Petrochemicals LLC,AE-DXB,AE,AE-DXB → IN-KOL,147383,177290,-0.1687,Advance Payment,2025-11-13,Route surcharge detected,alert,0.891,Plastics,SGD
IN-2025-00033,Invoice,Colombo Textiles Ltd.,LK-CMB,LK,LK-CMB → IN-MUN,566927,492847,0.1503,Net 45,2025-09-28,Insurance premium adjustment|Cost overrun >10%,alert,0.479,Machinery,SGD
LE-2025-00034,Letter of Credit,Chennai Auto Components Ltd.,IN-CHN,IN,IN-CHN → IN-HAZ,283764,241425,0.1754,Net 30,2025-09-15,Cost overrun >10%|Carrier change mid-route|Quantity discrepancy,alert,0.739,Textiles & Garments,INR
IN-2025-00035,Insurance Certificate,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-PAR,698240,643243,0.0855,Net 60,2025-07-06,,review,0.508,Agricultural Products,USD
BI-2025-00036,Bill of Lading,Laem Chabang Seafood Processing,TH-LCH,TH,TH-LCH → IN-HAZ,511741,747031,-0.315,LC at Sight,2025-10-15,Payment terms changed|Compliance review needed|Critical cost overrun >20%,critical,1.0,Textiles & Garments,EUR
PA-2026-00037,Packing List,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-MUN,69742,90030,-0.2253,LC at Sight,2026-01-08,Payment terms changed|Critical cost overrun >20%|Sanctions list match|Expedited shipping requested,critical,1.0,Machinery,USD
PA-2025-00038,Packing List,Shanghai Electronics Co. Ltd.,CN-SHA,CN,CN-SHA → IN-KOL,422111,321912,0.3113,Net 60,2025-08-21,Payment terms changed|Material substitution flagged|Critical cost overrun >20%|Insurance premium spike,critical,0.944,Steel & Iron,EUR
IN-2025-00039,Invoice,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-KND,338417,367945,-0.0803,Advance Payment,2025-11-24,,review,0.432,Textiles & Garments,EUR
CU-2026-00040,Customs Declaration,Dubai Petrochemicals LLC,AE-DXB,AE,AE-DXB → IN-TUT,454460,502077,-0.0948,Advance Payment,2026-01-28,Seasonal adjustment,review,0.454,Medical Devices,USD
LE-2025-00041,Letter of Credit,Laem Chabang Seafood Processing,TH-LCH,TH,TH-LCH → IN-KOL,287407,285085,0.0081,Net 15,2025-09-07,,normal,0.027,Medical Devices,EUR
CU-2026-00042,Customs Declaration,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-MUN,541037,539953,0.002,Net 45,2026-01-21,,normal,0.008,Electronics,EUR
PU-2026-00043,Purchase Order,Chennai Auto Components Ltd.,IN-CHN,IN,IN-CHN → IN-KND,495220,446387,0.1094,LC 60 Days,2026-01-09,Carrier change mid-route|Cost overrun >10%,alert,0.458,Pharmaceuticals,INR
CU-2025-00044,Customs Declaration,Shenzhen Micro-Tech Industries,CN-SZX,CN,CN-SZX → IN-TUT,241173,267719,-0.0992,Net 45,2025-08-27,,review,0.465,Agricultural Products,SGD
BI-2025-00045,Bill of Lading,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-VIZ,316876,433057,-0.2683,LC 60 Days,2025-10-17,Payment terms changed|Sanctions list match|Critical cost overrun >20%,critical,1.0,Textiles & Garments,INR
CU-2025-00046,Customs Declaration,Chennai Auto Components Ltd.,IN-CHN,IN,IN-CHN → IN-PAR,713474,534866,0.3339,LC 60 Days,2025-12-14,Insurance premium spike|Critical cost overrun >20%|Expedited shipping requested|New intermediary entity detected,critical,1.0,Food Products,SGD
BI-2025-00047,Bill of Lading,Ningbo Machinery Works,CN-NGB,CN,CN-NGB → IN-PAR,339884,338333,0.0046,Net 15,2025-08-02,,normal,0.026,Chemical Products,USD
CU-2026-00048,Customs Declaration,Port Klang Palm Oil Exports,MY-PTG,MY,MY-PTG → IN-KOC,632302,666854,-0.0518,LC at Sight,2026-03-06,,review,0.227,Petroleum Products,SGD
BI-2026-00049,Bill of Lading,Busan Steel Trading Co.,KR-BUS,KR,KR-BUS → IN-KOC,567822,521435,0.089,Net 30,2026-02-10,,review,0.499,Steel & Iron,USD
BI-2026-00050,Bill of Lading,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-HAZ,488629,510159,-0.0422,Net 30,2026-02-15,,normal,0.189,Steel & Iron,USD
CU-2025-00051,Customs Declaration,Bangalore Biotech Solutions,IN-BLR,IN,IN-BLR → IN-KOL,875180,795247,0.1005,LC 60 Days,2025-08-09,Minor tariff reclassification|Cost overrun >10%|Quantity discrepancy,alert,0.365,Medical Devices,EUR
CU-2026-00052,Customs Declaration,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-JNPT,957245,785675,0.2184,Net 30,2026-02-03,Payment terms changed|Sanctions list match,critical,1.0,Agricultural Products,INR
LE-2025-00053,Letter of Credit,Rotterdam Chemicals BV,NL-RTM,NL,NL-RTM → IN-HAZ,697902,641907,0.0872,Net 60,2025-11-06,Seasonal adjustment,review,0.328,Medical Devices,USD
CU-2025-00054,Customs Declaration,Bangalore Biotech Solutions,IN-BLR,IN,IN-BLR → IN-KOC,862466,735974,0.1719,LC at Sight,2025-11-26,Quantity discrepancy|Minor tariff reclassification,alert,0.966,Machinery,SGD
PA-2025-00055,Packing List,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-MUN,515502,715685,-0.2797,Net 60,2025-10-15,Insurance premium spike|Critical cost overrun >20%|New intermediary entity detected,critical,1.0,Petroleum Products,EUR
LE-2025-00056,Letter of Credit,Mumbai Pharma Exports Pvt. Ltd.,IN-JNPT,IN,IN-JNPT → IN-KOL,47386,43899,0.0794,Net 60,2025-09-27,,review,0.471,Petroleum Products,INR
PA-2025-00057,Packing List,Port Klang Palm Oil Exports,MY-PTG,MY,MY-PTG → IN-MUN,823529,654058,0.2591,Advance Payment,2025-11-24,Compliance review needed|Critical cost overrun >20%|New intermediary entity detected|Material substitution flagged,critical,1.0,Electronics,SGD
LE-2025-00058,Letter of Credit,Colombo Textiles Ltd.,LK-CMB,LK,LK-CMB → IN-KOC,766808,791413,-0.0311,Net 30,2025-09-27,,normal,0.164,Steel & Iron,EUR
IN-2026-00059,Invoice,Mumbai Pharma Exports Pvt. Ltd.,IN-JNPT,IN,IN-JNPT → IN-CHN,729229,724654,0.0063,Net 30,2026-03-21,,normal,0.023,Textiles & Garments,EUR
CU-2025-00060,Customs Declaration,Shanghai Electronics Co. Ltd.,CN-SHA,CN,CN-SHA → IN-PAR,207881,215967,-0.0374,LC at Sight,2025-06-19,,normal,0.138,Pharmaceuticals,EUR
LE-2025-00061,Letter of Credit,Yokohama Precision Instruments,JP-YOK,JP,JP-YOK → IN-KOL,270405,287704,-0.0601,Net 60,2025-10-14,Minor deviation from baseline,review,0.284,Petroleum Products,SGD
BI-2026-00062,Bill of Lading,Bangalore Biotech Solutions,IN-BLR,IN,IN-BLR → IN-PAR,433856,432697,0.0027,Net 45,2026-02-09,,normal,0.009,Machinery,USD
BI-2026-00063,Bill of Lading,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-JNPT,59144,61526,-0.0387,Advance Payment,2026-03-26,,normal,0.166,Machinery,INR
PU-2025-00064,Purchase Order,Busan Steel Trading Co.,KR-BUS,KR,KR-BUS → IN-CHN,452419,536182,-0.1562,Net 15,2025-12-13,Minor tariff reclassification,alert,0.668,Medical Devices,USD
IN-2025-00065,Insurance Certificate,Chennai Auto Components Ltd.,IN-CHN,IN,IN-CHN → IN-KOL,563541,564265,-0.0013,Advance Payment,2025-11-12,,normal,0.005,Petroleum Products,SGD
IN-2025-00066,Invoice,Port Klang Palm Oil Exports,MY-PTG,MY,MY-PTG → IN-VIZ,929176,734388,0.2652,Net 60,2025-12-30,New intermediary entity detected|Payment terms changed|Material substitution flagged,critical,0.947,Food Products,EUR
IN-2026-00067,Insurance Certificate,Chennai Auto Components Ltd.,IN-CHN,IN,IN-CHN → IN-PAR,37950,46054,-0.176,Advance Payment,2026-02-15,Cost overrun >10%|Insurance premium adjustment,alert,0.766,Medical Devices,EUR
PA-2026-00068,Packing List,Chennai Auto Components Ltd.,IN-CHN,IN,IN-CHN → IN-JNPT,362584,482378,-0.2483,Net 45,2026-03-20,Critical cost overrun >20%|Material substitution flagged|Payment terms changed,critical,1.0,Agricultural Products,SGD
PA-2025-00069,Packing List,Laem Chabang Seafood Processing,TH-LCH,TH,TH-LCH → IN-PAR,400218,413327,-0.0317,Net 30,2025-11-25,,normal,0.098,Pharmaceuticals,INR
PA-2025-00070,Packing List,Port Klang Palm Oil Exports,MY-PTG,MY,MY-PTG → IN-TUT,144701,171605,-0.1568,Net 45,2025-11-30,Cost overrun >10%|Carrier change mid-route|Route surcharge detected,alert,0.684,Electronics,EUR
IN-2026-00071,Insurance Certificate,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-VIZ,568250,557881,0.0186,Net 15,2026-01-08,,normal,0.072,Medical Devices,EUR
CU-2025-00072,Customs Declaration,Busan Steel Trading Co.,KR-BUS,KR,KR-BUS → IN-KOL,378963,409008,-0.0735,Net 15,2025-06-09,,review,0.364,Automobile Parts,USD
IN-2025-00073,Insurance Certificate,Ningbo Machinery Works,CN-NGB,CN,CN-NGB → IN-VIZ,275208,311936,-0.1177,Advance Payment,2025-10-24,Cost overrun >10%|Carrier change mid-route|Insurance premium adjustment,alert,0.528,Electronics,USD
LE-2025-00074,Letter of Credit,Port Klang Palm Oil Exports,MY-PTG,MY,MY-PTG → IN-CHN,776112,760057,0.0211,Net 15,2025-08-03,,normal,0.111,Chemical Products,USD
CU-2025-00075,Customs Declaration,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-HAZ,740057,777862,-0.0486,Net 60,2025-08-16,,normal,0.236,Machinery,INR
LE-2025-00076,Letter of Credit,Durban Mining Corp.,ZA-DUR,ZA,ZA-DUR → IN-PAR,142289,143573,-0.0089,Advance Payment,2025-09-05,,normal,0.035,Petroleum Products,USD
LE-2025-00077,Letter of Credit,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-TUT,39608,42373,-0.0653,LC at Sight,2025-12-07,Seasonal adjustment,review,0.313,Pharmaceuticals,SGD
CU-2025-00078,Customs Declaration,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-TUT,591352,503616,0.1742,Net 30,2025-11-13,Carrier change mid-route|Minor tariff reclassification,alert,0.986,Textiles & Garments,INR
PA-2025-00079,Packing List,Shanghai Electronics Co. Ltd.,CN-SHA,CN,CN-SHA → IN-CHN,642081,680461,-0.0564,LC 60 Days,2025-07-29,Seasonal adjustment,review,0.243,Petroleum Products,EUR
LE-2025-00080,Letter of Credit,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-VIZ,206581,202557,0.0199,Advance Payment,2025-12-21,,normal,0.077,Agricultural Products,SGD
IN-2026-00081,Insurance Certificate,Durban Mining Corp.,ZA-DUR,ZA,ZA-DUR → IN-PAR,296972,308148,-0.0363,Net 60,2026-02-16,,normal,0.173,Textiles & Garments,USD
PU-2026-00082,Purchase Order,Tata Steel Processing,IN-MUM,IN,IN-MUM → IN-HAZ,268315,258109,0.0395,LC at Sight,2026-03-10,,normal,0.124,Automobile Parts,SGD
BI-2026-00083,Bill of Lading,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-KND,212013,217603,-0.0257,Net 15,2026-01-11,,normal,0.115,Petroleum Products,INR
LE-2025-00084,Letter of Credit,Shanghai Electronics Co. Ltd.,CN-SHA,CN,CN-SHA → IN-JNPT,451803,466871,-0.0323,LC at Sight,2025-12-12,,normal,0.116,Chemical Products,EUR
PA-2025-00085,Packing List,Durban Mining Corp.,ZA-DUR,ZA,ZA-DUR → IN-MUN,193617,257413,-0.2478,Advance Payment,2025-06-09,Insurance premium spike|Payment terms changed|Expedited shipping requested,critical,0.948,Steel & Iron,EUR
IN-2026-00086,Invoice,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-KOC,550016,525733,0.0462,Net 60,2026-02-04,,normal,0.146,Automobile Parts,SGD
CU-2025-00087,Customs Declaration,Shanghai Electronics Co. Ltd.,CN-SHA,CN,CN-SHA → IN-VIZ,81570,90332,-0.097,Advance Payment,2025-06-20,,review,0.317,Medical Devices,EUR
PU-2025-00088,Purchase Order,Bangalore Biotech Solutions,IN-BLR,IN,IN-BLR → IN-CHN,180666,165713,0.0902,LC at Sight,2025-11-12,,review,0.428,Medical Devices,INR
PA-2026-00089,Packing List,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-KND,820058,652354,0.2571,Net 15,2026-01-11,Critical cost overrun >20%|Sanctions list match|Compliance review needed,critical,1.0,Textiles & Garments,EUR
IN-2025-00090,Insurance Certificate,Rotterdam Chemicals BV,NL-RTM,NL,NL-RTM → IN-KND,422310,450671,-0.0629,Net 30,2025-10-24,,review,0.37,Chemical Products,USD
BI-2026-00091,Bill of Lading,Bangalore Biotech Solutions,IN-BLR,IN,IN-BLR → IN-MUN,680245,645182,0.0543,Net 30,2026-03-24,Seasonal adjustment,review,0.201,Agricultural Products,INR
PU-2026-00092,Purchase Order,Shenzhen Micro-Tech Industries,CN-SZX,CN,CN-SZX → IN-TUT,766131,616725,0.2423,LC 60 Days,2026-03-27,Sanctions list match|New intermediary entity detected|Insurance premium spike|Payment terms changed|Critical cost overrun >20%,critical,0.938,Plastics,EUR
CU-2026-00093,Customs Declaration,Durban Mining Corp.,ZA-DUR,ZA,ZA-DUR → IN-PAR,745840,768446,-0.0294,Net 45,2026-02-15,,normal,0.113,Pharmaceuticals,USD
BI-2025-00094,Bill of Lading,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-MUN,563089,546316,0.0307,Net 45,2025-08-07,,normal,0.141,Medical Devices,SGD
PA-2025-00095,Packing List,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-MUN,169419,160104,0.0582,Net 15,2025-12-21,,review,0.278,Textiles & Garments,USD
PU-2026-00096,Purchase Order,Shenzhen Micro-Tech Industries,CN-SZX,CN,CN-SZX → IN-MUN,81504,85903,-0.0512,Net 45,2026-02-16,Seasonal adjustment,review,0.248,Food Products,INR
LE-2025-00097,Letter of Credit,Port Klang Palm Oil Exports,MY-PTG,MY,MY-PTG → IN-PAR,250413,199805,0.2533,LC 60 Days,2025-08-29,Material substitution flagged|Sanctions list match|Expedited shipping requested|Insurance premium spike|Payment terms changed,critical,0.981,Automobile Parts,INR
IN-2025-00098,Insurance Certificate,Rotterdam Chemicals BV,NL-RTM,NL,NL-RTM → IN-TUT,6763,5674,0.192,Advance Payment,2025-09-30,Minor tariff reclassification,alert,0.923,Steel & Iron,INR
IN-2025-00099,Insurance Certificate,Dubai Petrochemicals LLC,AE-DXB,AE,AE-DXB → IN-HAZ,64660,68447,-0.0553,LC at Sight,2025-11-18,Minor deviation from baseline,review,0.275,Petroleum Products,EUR
LE-2025-00100,Letter of Credit,Rotterdam Chemicals BV,NL-RTM,NL,NL-RTM → IN-PAR,759846,762859,-0.004,Net 15,2025-12-29,,normal,0.022,Chemical Products,INR
IN-2025-00101,Insurance Certificate,Dubai Petrochemicals LLC,AE-DXB,AE,AE-DXB → IN-TUT,612679,579492,0.0573,Net 30,2025-10-18,Seasonal adjustment,review,0.231,Steel & Iron,EUR
PU-2025-00102,Purchase Order,Shenzhen Micro-Tech Industries,CN-SZX,CN,CN-SZX → IN-KOL,641532,694722,-0.0766,Net 30,2025-06-05,Minor deviation from baseline,review,0.291,Petroleum Products,SGD
BI-2025-00103,Bill of Lading,Mumbai Pharma Exports Pvt. Ltd.,IN-JNPT,IN,IN-JNPT → IN-CHN,584171,606753,-0.0372,LC at Sight,2025-11-05,,normal,0.187,Pharmaceuticals,SGD
LE-2026-00104,Letter of Credit,Yokohama Precision Instruments,JP-YOK,JP,JP-YOK → IN-KOC,771146,726422,0.0616,LC 60 Days,2026-02-24,,review,0.186,Pharmaceuticals,SGD
LE-2026-00105,Letter of Credit,Shenzhen Micro-Tech Industries,CN-SZX,CN,CN-SZX → IN-MUN,303024,324186,-0.0653,Net 60,2026-01-23,Seasonal adjustment,review,0.318,Automobile Parts,EUR
BI-2025-00106,Bill of Lading,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-KND,325848,375301,-0.1318,Net 60,2025-07-13,Quantity discrepancy|Minor tariff reclassification|Cost overrun >10%,alert,0.508,Plastics,SGD
LE-2025-00107,Letter of Credit,Busan Steel Trading Co.,KR-BUS,KR,KR-BUS → IN-CHN,40071,36978,0.0836,Net 45,2025-06-23,,review,0.4,Food Products,EUR
IN-2025-00108,Insurance Certificate,Shenzhen Micro-Tech Industries,CN-SZX,CN,CN-SZX → IN-HAZ,403927,455793,-0.1138,Net 45,2025-12-25,Quantity discrepancy,alert,0.483,Food Products,INR
IN-2026-00109,Insurance Certificate,Busan Steel Trading Co.,KR-BUS,KR,KR-BUS → IN-PAR,765782,619485,0.2362,Net 30,2026-03-17,Sanctions list match|New intermediary entity detected|Expedited shipping requested|Payment terms changed,critical,1.0,Machinery,EUR
BI-2025-00110,Bill of Lading,Bangalore Biotech Solutions,IN-BLR,IN,IN-BLR → IN-KOC,764083,766052,-0.0026,Net 30,2025-07-23,,normal,0.012,Agricultural Products,EUR
CU-2025-00111,Customs Declaration,Chennai Auto Components Ltd.,IN-CHN,IN,IN-CHN → IN-TUT,13777,12747,0.0808,LC at Sight,2025-08-21,Minor deviation from baseline,review,0.332,Petroleum Products,INR
LE-2026-00112,Letter of Credit,Yokohama Precision Instruments,JP-YOK,JP,JP-YOK → IN-JNPT,156166,161996,-0.036,LC at Sight,2026-02-01,,normal,0.161,Petroleum Products,USD
CU-2025-00113,Customs Declaration,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-KND,418933,400204,0.0468,Net 30,2025-10-09,,normal,0.22,Automobile Parts,SGD
CU-2026-00114,Customs Declaration,Ningbo Machinery Works,CN-NGB,CN,CN-NGB → IN-JNPT,858849,725293,0.1841,Net 45,2026-03-05,Cost overrun >10%|Insurance premium adjustment,alert,0.735,Steel & Iron,EUR
IN-2026-00115,Invoice,Durban Mining Corp.,ZA-DUR,ZA,ZA-DUR → IN-PAR,511217,573592,-0.1087,Net 15,2026-03-14,Route surcharge detected,alert,0.601,Machinery,USD
IN-2025-00116,Invoice,Rotterdam Chemicals BV,NL-RTM,NL,NL-RTM → IN-MUN,463083,477426,-0.03,Net 60,2025-11-18,,normal,0.098,Food Products,EUR
LE-2025-00117,Letter of Credit,Shanghai Electronics Co. Ltd.,CN-SHA,CN,CN-SHA → IN-KOL,249322,253753,-0.0175,Advance Payment,2025-10-03,,normal,0.077,Pharmaceuticals,USD
LE-2026-00118,Letter of Credit,Ningbo Machinery Works,CN-NGB,CN,CN-NGB → IN-KND,245261,250445,-0.0207,LC at Sight,2026-02-27,,normal,0.091,Petroleum Products,EUR
BI-2025-00119,Bill of Lading,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-CHN,757392,713588,0.0614,Net 15,2025-08-03,Minor deviation from baseline,review,0.19,Plastics,INR
IN-2026-00120,Insurance Certificate,Laem Chabang Seafood Processing,TH-LCH,TH,TH-LCH → IN-KOC,374008,357370,0.0466,Net 30,2026-01-20,,normal,0.269,Electronics,EUR
PA-2025-00121,Packing List,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-PAR,630199,687469,-0.0833,LC at Sight,2025-12-14,Minor deviation from baseline,review,0.413,Machinery,USD
LE-2025-00122,Letter of Credit,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-KOC,267175,234215,0.1407,LC 60 Days,2025-12-18,Carrier change mid-route|Route surcharge detected|Cost overrun >10%,alert,0.498,Agricultural Products,INR
PA-2025-00123,Packing List,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-CHN,67825,67574,0.0037,Net 45,2025-07-30,,normal,0.012,Food Products,EUR
PA-2025-00124,Packing List,Chennai Auto Components Ltd.,IN-CHN,IN,IN-CHN → IN-KOL,563532,531274,0.0607,LC 60 Days,2025-09-26,,review,0.357,Automobile Parts,SGD
IN-2026-00125,Invoice,Bangalore Biotech Solutions,IN-BLR,IN,IN-BLR → IN-VIZ,35521,26937,0.3187,LC at Sight,2026-03-05,Compliance review needed|New intermediary entity detected|Critical cost overrun >20%,critical,1.0,Textiles & Garments,INR
BI-2025-00126,Bill of Lading,Ningbo Machinery Works,CN-NGB,CN,CN-NGB → IN-TUT,338653,408191,-0.1704,Advance Payment,2025-10-06,Minor tariff reclassification,alert,0.772,Electronics,SGD
CU-2025-00127,Customs Declaration,Hamburg Industrial Supply GmbH,DE-HAM,DE,DE-HAM → IN-VIZ,485673,426512,0.1387,LC 60 Days,2025-08-21,Quantity discrepancy,alert,0.806,Medical Devices,EUR
