event_id,timestamp,port_id,port_name,disruption_type,description,severity,duration_hours,affected_shipments,economic_loss_usd,cascade_nodes,r_number,recovery_hours,antibody_match,detection_method,status
DIS-0025,2024-10-26 00:00,IN-VIZ,Visakhapatnam Port,geopolitical_tension,Geopolitical tension — route advisory issued,0.819,72,405,5539932,3,3.01,100,AB-0001,crowdsource,resolved
DIS-0026,2025-03-10 00:00,LK-CMB,Colombo,warehouse_fire,Warehouse fire — cargo damaged/destroyed,0.949,48,198,2258789,1,1.31,86,NEW,crowdsource,monitoring
DIS-0027,2024-10-05 00:00,LK-CMB,Colombo,weather_cyclone,Cyclone warning — vessel rerouting required,0.891,48,207,1923509,8,3.33,90,AB-0005,crowdsource,resolved
DIS-0028,2024-05-01 00:00,US-LAX,Los Angeles,port_congestion,Port congestion — vessel queuing exceeds 48h,0.776,48,466,4166325,6,2.62,74,AB-0005,immune_memory,resolved
DIS-0029,2024-12-13 00:00,IN-MUN,Mundra Port,geopolitical_tension,Geopolitical tension — route advisory issued,0.902,12,107,1292743,4,1.03,20,AB-0005,crowdsource,resolved
DIS-0030,2024-02-13 00:00,KR-BUS,Busan,cyber_attack,Cyber attack on port community system,0.794,48,340,911878,2,0.58,90,AB-0004,sensor_network,resolved
DIS-0031,2024-06-28 00:00,ZA-DUR,Durban,weather_cyclone,Cyclone warning — vessel rerouting required,0.9,168,315,2252413,4,1.24,304,AB-0004,manual,resolved
DIS-0032,2024-01-28 00:00,IN-HAZ,Hazira Port,geopolitical_tension,Geopolitical tension — route advisory issued,0.775,336,34,163557,1,1.99,546,AB-0005,immune_memory,resolved
DIS-0033,2023-11-15 00:00,CN-SHA,Shanghai,geopolitical_tension,Geopolitical tension — route advisory issued,0.944,168,71,592716,3,1.54,234,AB-0002,immune_memory,ongoing
DIS-0034,2023-12-09 00:00,CN-SZX,Shenzhen,labor_strike,Labor union strike — port operations halted,0.846,12,481,1214428,8,2.73,25,AB-0002,manual,ongoing
DIS-0035,2023-02-07 00:00,IN-VIZ,Visakhapatnam Port,labor_strike,Labor union strike — port operations halted,0.82,12,92,642058,4,2.32,24,AB-0002,immune_memory,resolved
DIS-0036,2023-01-30 00:00,IN-HAZ,Hazira Port,warehouse_fire,Warehouse fire — cargo damaged/destroyed,0.687,24,431,2574645,6,1.92,33,AB-0002,sensor_network,monitoring
DIS-0037,2023-05-02 00:00,NL-RTM,Rotterdam,rail_disruption,Rail network disruption — ICD connectivity lost,0.59,24,71,558373,3,2.02,31,AB-0002,manual,ongoing
DIS-0038,2024-04-17 00:00,US-NYC,New York/New Jersey,warehouse_fire,Warehouse fire — cargo damaged/destroyed,0.906,24,485,1947329,1,1.01,34,AB-0004,immune_memory,resolved
DIS-0039,2024-01-29 00:00,CN-SZX,Shenzhen,fuel_price_spike,Fuel price spike — bunker surcharge increased,0.509,12,292,2906616,0,2.61,28,AB-0002,sensor_network,resolved
DIS-0040,2024-06-03 00:00,CN-NGB,Ningbo,equipment_failure,Crane/equipment failure — berth throughput reduced,0.446,168,112,1621117,1,1.17,419,AB-0002,document_intel,ongoing
DIS-0041,2024-12-18 00:00,ZA-DUR,Durban,port_congestion,Port congestion — vessel queuing exceeds 48h,0.733,72,78,639087,7,3.26,177,NEW,immune_memory,resolved
DIS-0042,2024-12-07 00:00,CN-NGB,Ningbo,weather_cyclone,Cyclone warning — vessel rerouting required,0.79,168,60,402742,6,2.07,281,NEW,sensor_network,resolved
DIS-0043,2023-11-09 00:00,NL-RTM,Rotterdam,rail_disruption,Rail network disruption — ICD connectivity lost,0.623,8,175,1736714,2,2.76,14,NEW,manual,resolved
DIS-0044,2023-03-27 00:00,IN-KOC,Kochi Port,port_congestion,Port congestion — vessel queuing exceeds 48h,0.78,4,268,1600177,1,1.91,5,AB-0005,sensor_network,resolved
DIS-0045,2023-04-16 00:00,IN-KOL,Kolkata Port,labor_strike,Labor union strike — port operations halted,0.529,168,256,2393454,1,1.44,359,AB-0004,crowdsource,resolved
DIS-0046,2024-02-07 00:00,NL-RTM,Rotterdam,container_shortage,Container shortage — 40ft HC unavailable,0.446,48,97,632074,1,0.73,84,AB-0004,sensor_network,ongoing
DIS-0047,2024-06-17 00:00,IN-KOC,Kochi Port,fuel_price_spike,Fuel price spike — bunker surcharge increased,0.42,12,414,2472065,1,0.99,21,AB-0001,manual,resolved
DIS-0048,2024-11-22 00:00,LK-CMB,Colombo,fuel_price_spike,Fuel price spike — bunker surcharge increased,0.351,120,165,1841101,1,1.2,202,AB-0002,sensor_network,resolved
DIS-0049,2023-10-31 00:00,ZA-DUR,Durban,geopolitical_tension,Geopolitical tension — route advisory issued,0.842,12,426,3411664,5,0.8,16,AB-0002,sensor_network,resolved
DIS-0050,2023-01-29 00:00,IN-PAR,Paradip Port,fuel_price_spike,Fuel price spike — bunker surcharge increased,0.278,72,383,4156832,1,0.62,134,AB-0005,sensor_network,ongoing
DIS-0051,2024-06-15 00:00,DE-HAM,Hamburg,customs_delay,Customs clearance delay — documentation backlog,0.673,48,32,154045,1,3.46,60,AB-0005,sensor_network,resolved
DIS-0052,2024-10-18 00:00,JP-YOK,Yokohama,warehouse_fire,Warehouse fire — cargo damaged/destroyed,0.872,48,368,2998032,8,1.61,104,AB-0005,sensor_network,resolved
DIS-0053,2023-10-29 00:00,AE-DXB,Dubai (Jebel Ali),rail_disruption,Rail network disruption — ICD connectivity lost,0.489,72,189,2558566,0,0.48,135,NEW,sensor_network,resolved
DIS-0054,2023-09-13 00:00,US-LAX,Los Angeles,container_shortage,Container shortage — 40ft HC unavailable,0.68,48,171,1774850,7,1.33,96,AB-0001,document_intel,ongoing
DIS-0055,2024-10-12 00:00,IN-KND,Kandla Port,port_congestion,Port congestion — vessel queuing exceeds 48h,0.786,168,426,1348144,1,1.95,342,NEW,sensor_network,monitoring
DIS-0056,2023-03-06 00:00,AE-DXB,Dubai (Jebel Ali),labor_strike,Labor union strike — port operations halted,0.805,8,264,1970824,6,1.04,14,AB-0004,manual,resolved
DIS-0057,2023-05-29 00:00,IN-JNPT,Nhava Sheva (JNPT),weather_cyclone,Cyclone warning — vessel rerouting required,0.846,120,176,1809707,4,0.84,273,AB-0001,immune_memory,monitoring
DIS-0058,2023-10-16 00:00,CN-SZX,Shenzhen,weather_cyclone,Cyclone warning — vessel rerouting required,1.0,48,472,4936232,4,2.37,104,AB-0004,document_intel,resolved
DIS-0059,2025-04-30 00:00,KR-BUS,Busan,cyber_attack,Cyber attack on port community system,0.624,72,471,6220791,2,1.49,104,AB-0004,sensor_network,ongoing
DIS-0060,2024-01-10 00:00,IN-PAR,Paradip Port,weather_cyclone,Cyclone warning — vessel rerouting required,0.782,24,163,1986395,5,0.52,29,AB-0001,manual,resolved
DIS-0061,2024-12-03 00:00,IN-TUT,Tuticorin Port,labor_strike,Labor union strike — port operations halted,0.775,48,255,1640818,7,0.51,101,NEW,sensor_network,resolved
DIS-0062,2025-01-20 00:00,IN-JNPT,Nhava Sheva (JNPT),equipment_failure,Crane/equipment failure — berth throughput reduced,0.435,8,445,2544317,2,0.57,11,NEW,immune_memory,ongoing
DIS-0063,2023-03-04 00:00,LK-CMB,Colombo,container_shortage,Container shortage — 40ft HC unavailable,0.555,72,306,3503214,3,1.39,150,NEW,sensor_network,resolved
DIS-0064,2024-02-16 00:00,IN-CHN,Chennai Port,equipment_failure,Crane/equipment failure — berth throughput reduced,0.481,48,148,1685774,3,0.3,87,AB-0001,document_intel,resolved
DIS-0065,2023-01-17 00:00,IN-JNPT,Nhava Sheva (JNPT),cyber_attack,Cyber attack on port community system,0.817,48,208,484793,7,1.97,96,AB-0001,manual,monitoring
DIS-0066,2024-12-28 00:00,NL-RTM,Rotterdam,fuel_price_spike,Fuel price spike — bunker surcharge increased,0.379,24,192,913877,1,0.72,57,AB-0002,manual,monitoring
DIS-0067,2024-11-18 00:00,DE-HAM,Hamburg,weather_cyclone,Cyclone warning — vessel rerouting required,1.0,24,245,1156092,2,2.57,37,AB-0005,document_intel,resolved
DIS-0068,2023-12-15 00:00,SG-SIN,Singapore,weather_cyclone,Cyclone warning — vessel rerouting required,0.825,168,95,389466,3,1.95,337,AB-0003,crowdsource,resolved
DIS-0069,2023-05-21 00:00,IN-MUN,Mundra Port,pandemic_restriction,Pandemic-related port restriction,0.554,72,387,3291608,2,3.33,136,AB-0004,sensor_network,ongoing
DIS-0070,2024-08-22 00:00,IN-KND,Kandla Port,rail_disruption,Rail network disruption — ICD connectivity lost,0.505,168,457,6208980,2,2.4,375,AB-0003,crowdsource,resolved
DIS-0071,2023-06-12 00:00,KR-BUS,Busan,equipment_failure,Crane/equipment failure — berth throughput reduced,0.706,12,360,974674,3,2.73,29,AB-0005,immune_memory,ongoing
DIS-0072,2023-11-01 00:00,US-NYC,New York/New Jersey,container_shortage,Container shortage — 40ft HC unavailable,0.424,72,142,1721044,0,0.83,117,AB-0001,sensor_network,ongoing
DIS-0073,2025-01-23 00:00,KR-BUS,Busan,port_congestion,Port congestion — vessel queuing exceeds 48h,0.768,120,410,1092153,3,1.84,283,NEW,immune_memory,resolved
DIS-0074,2023-10-09 00:00,IN-KND,Kandla Port,weather_cyclone,Cyclone warning — vessel rerouting required,0.883,24,353,1918917,6,2.39,40,AB-0005,sensor_network,resolved
DIS-0075,2025-03-22 00:00,MY-PTG,Port Klang,pandemic_restriction,Pandemic-related port restriction,0.681,24,333,1087350,1,3.4,40,NEW,sensor_network,monitoring
DIS-0076,2023-07-29 00:00,IN-TUT,Tuticorin Port,port_congestion,Port congestion — vessel queuing exceeds 48h,0.791,72,400,4047740,5,0.98,99,AB-0004,sensor_network,resolved
DIS-0077,2025-03-01 00:00,AE-DXB,Dubai (Jebel Ali),warehouse_fire,Warehouse fire — cargo damaged/destroyed,0.784,4,103,1103797,4,3.49,9,AB-0005,crowdsource,ongoing
DIS-0078,2023-11-23 00:00,IN-KOC,Kochi Port,cyber_attack,Cyber attack on port community system,0.628,72,167,1794198,2,3.08,158,AB-0002,immune_memory,resolved
DIS-0079,2024-07-24 00:00,IN-TUT,Tuticorin Port,cyber_attack,Cyber attack on port community system,0.563,24,49,165428,1,0.52,42,NEW,manual,resolved
DIS-0080,2024-10-29 00:00,CN-NGB,Ningbo,fuel_price_spike,Fuel price spike — bunker surcharge increased,0.527,72,115,580826,1,2.65,101,AB-0003,manual,monitoring
DIS-0081,2024-08-18 00:00,IN-KOL,Kolkata Port,weather_cyclone,Cyclone warning — vessel rerouting required,0.87,48,500,3236506,2,3.29,112,NEW,sensor_network,monitoring
DIS-0082,2023-08-20 00:00,SG-SIN,Singapore,fuel_price_spike,Fuel price spike — bunker surcharge increased,0.265,72,146,1722727,0,0.49,174,AB-0004,immune_memory,resolved
DIS-0083,2024-09-15 00:00,US-LAX,Los Angeles,cyber_attack,Cyber attack on port community system,0.73,12,192,591129,8,1.81,29,AB-0001,document_intel,resolved
DIS-0084,2023-12-28 00:00,NL-RTM,Rotterdam,pandemic_restriction,Pandemic-related port restriction,0.828,48,176,2075722,2,2.34,99,AB-0002,immune_memory,resolved
DIS-0085,2024-12-01 00:00,IN-CHN,Chennai Port,warehouse_fire,Warehouse fire — cargo damaged/destroyed,0.961,12,102,1348612,1,3.24,15,AB-0001,crowdsource,resolved
DIS-0086,2025-04-29 00:00,US-LAX,Los Angeles,pandemic_restriction,Pandemic-related port restriction,0.652,24,158,1177532,6,3.5,47,AB-0001,immune_memory,monitoring
DIS-0087,2024-10-02 00:00,US-LAX,Los Angeles,container_shortage,Container shortage — 40ft HC unavailable,0.566,48,280,2685844,0,1.81,81,AB-0001,crowdsource,resolved
DIS-0088,2025-01-23 00:00,KR-BUS,Busan,port_congestion,Port congestion — vessel queuing exceeds 48h,0.713,72,490,3156277,2,3.41,114,AB-0004,immune_memory,resolved
DIS-0089,2023-09-30 00:00,IN-PAR,Paradip Port,warehouse_fire,Warehouse fire — cargo damaged/destroyed,1.0,72,30,342059,6,1.67,166,AB-0004,sensor_network,resolved
DIS-0090,2024-04-01 00:00,IN-CHN,Chennai Port,cyber_attack,Cyber attack on port community system,0.726,8,282,754142,5,1.2,14,AB-0003,document_intel,resolved
DIS-0091,2023-02-18 00:00,IN-HAZ,Hazira Port,port_congestion,Port congestion — vessel queuing exceeds 48h,0.784,48,163,2415405,2,2.38,72,AB-0004,sensor_network,ongoing
DIS-0092,2024-07-25 00:00,CN-NGB,Ningbo,weather_cyclone,Cyclone warning — vessel rerouting required,0.917,24,67,201989,8,1.76,44,AB-0002,manual,monitoring
DIS-0093,2024-01-23 00:00,IN-KOL,Kolkata Port,equipment_failure,Crane/equipment failure — berth throughput reduced,0.519,72,393,4074038,2,3.27,93,AB-0005,crowdsource,resolved
DIS-0094,2024-11-23 00:00,CN-NGB,Ningbo,fuel_price_spike,Fuel price spike — bunker surcharge increased,0.453,24,151,1461120,0,1.03,59,AB-0005,document_intel,resolved
DIS-0095,2024-09-20 00:00,SG-SIN,Singapore,weather_cyclone,Cyclone warning — vessel rerouting required,0.974,24,421,3795910,3,3.0,49,NEW,sensor_network,resolved
DIS-0096,2024-02-02 00:00,IN-MUN,Mundra Port,geopolitical_tension,Geopolitical tension — route advisory issued,0.757,24,46,519029,6,3.36,48,AB-0005,document_intel,monitoring
DIS-0097,2023-09-21 00:00,IN-KND,Kandla Port,pandemic_restriction,Pandemic-related port restriction,0.77,72,250,1909225,3,2.32,145,AB-0003,crowdsource,resolved
DIS-0098,2025-04-20 00:00,IN-HAZ,Hazira Port,labor_strike,Labor union strike — port operations halted,0.66,24,243,1522237,2,0.63,34,AB-0005,sensor_network,ongoing
DIS-0099,2023-07-25 00:00,KR-BUS,Busan,cyber_attack,Cyber attack on port community system,0.831,72,100,1139572,8,2.54,174,AB-0003,sensor_network,resolved
DIS-0100,2023-12-16 00:00,IN-KND,Kandla Port,container_shortage,Container shortage — 40ft HC unavailable,0.466,72,421,1504117,2,0.84,138,AB-0003,crowdsource,resolved
DIS-0101,2024-02-22 00:00,US-LAX,Los Angeles,customs_delay,Customs clearance delay — documentation backlog,0.659,48,198,2006953,5,1.88,113,AB-0002,sensor_network,monitoring
DIS-0102,2024-10-23 00:00,AE-DXB,Dubai (Jebel Ali),pandemic_restriction,Pandemic-related port restriction,0.661,12,432,4659939,1,2.02,21,AB-0002,sensor_network,resolved
DIS-0103,2023-01-13 00:00,KR-BUS,Busan,container_shortage,Container shortage — 40ft HC unavailable,0.647,72,390,5171285,8,0.78,104,AB-0003,sensor_network,resolved
DIS-0104,2023-03-11 00:00,IN-PAR,Paradip Port,port_congestion,Port congestion — vessel queuing exceeds 48h,0.576,168,165,1268327,1,0.74,287,AB-0002,immune_memory,monitoring
DIS-0105,2023-09-08 00:00,IN-KOC,Kochi Port,pandemic_restriction,Pandemic-related port restriction,0.673,24,255,3176437,2,1.37,44,AB-0001,sensor_network,resolved
DIS-0106,2023-04-15 00:00,US-LAX,Los Angeles,equipment_failure,Crane/equipment failure — berth throughput reduced,0.678,336,469,6141962,1,0.68,537,AB-0003,document_intel,resolved
DIS-0107,2024-02-02 00:00,IN-TUT,Tuticorin Port,customs_delay,Customs clearance delay — documentation backlog,0.458,72,42,526153,0,0.38,177,AB-0001,document_intel,resolved
DIS-0108,2024-05-23 00:00,US-NYC,New York/New Jersey,customs_delay,Customs clearance delay — documentation backlog,0.552,72,431,2974383,1,1.83,176,AB-0003,document_intel,resolved
DIS-0109,2024-07-28 00:00,CN-SHA,Shanghai,customs_delay,Customs clearance delay — documentation backlog,0.487,24,97,210448,0,1.16,31,AB-0002,immune_memory,ongoing
DIS-0110,2024-03-26 00:00,LK-CMB,Colombo,port_congestion,Port congestion — vessel queuing exceeds 48h,0.886,24,36,148780,6,1.46,31,AB-0003,sensor_network,resolved
DIS-0111,2024-11-19 00:00,AE-DXB,Dubai (Jebel Ali),geopolitical_tension,Geopolitical tension — route advisory issued,0.718,72,243,1635350,7,0.73,162,AB-0005,sensor_network,ongoing
DIS-0112,2023-08-30 00:00,CN-SHA,Shanghai,warehouse_fire,Warehouse fire — cargo damaged/destroyed,1.0,168,245,3531060,5,1.2,359,AB-0003,manual,resolved
DIS-0113,2024-03-16 00:00,US-LAX,Los Angeles,rail_disruption,Rail network disruption — ICD connectivity lost,0.664,72,37,206323,8,2.6,169,AB-0004,immune_memory,resolved
DIS-0114,2023-01-21 00:00,IN-PAR,Paradip Port,container_shortage,Container shortage — 40ft HC unavailable,0.619,48,59,220504,5,1.2,63,AB-0004,sensor_network,resolved
DIS-0115,2023-01-04 00:00,CN-NGB,Ningbo,weather_cyclone,Cyclone warning — vessel rerouting required,0.902,120,61,575387,3,2.8,276,AB-0005,document_intel,monitoring
DIS-0116,2024-03-11 00:00,IN-TUT,Tuticorin Port,pandemic_restriction,Pandemic-related port restriction,0.563,12,213,446525,2,1.5,19,AB-0004,document_intel,monitoring
DIS-0117,2024-06-19 00:00,CN-NGB,Ningbo,weather_cyclone,Cyclone warning — vessel rerouting required,0.743,8,332,2083058,6,2.86,14,AB-0002,immune_memory,ongoing
DIS-0118,2023-08-06 00:00,IN-KOC,Kochi Port,pandemic_restriction,Pandemic-related port restriction,0.603,24,63,842046,2,3.45,56,AB-0001,immune_memory,resolved
DIS-0119,2023-08-14 00:00,IN-PAR,Paradip Port,pandemic_restriction,Pandemic-related port restriction,0.528,12,313,1373470,3,2.6,22,AB-0001,immune_memory,ongoing
DIS-0120,2023-10-11 00:00,IN-MUN,Mundra Port,labor_strike,Labor union strike — port operations halted,0.789,8,100,680219,5,1.33,17,AB-0003,crowdsource,resolved
DIS-0121,2023-03-16 00:00,SG-SIN,Singapore,warehouse_fire,Warehouse fire — cargo damaged/destroyed,1.0,72,177,995601,5,1.23,94,AB-0001,manual,monitoring
DIS-0122,2023-12-03 00:00,NL-RTM,Rotterdam,rail_disruption,Rail network disruption — ICD connectivity lost,0.819,72,163,506137,1,2.99,104,AB-0005,crowdsource,resolved
DIS-0123,2023-04-09 00:00,US-LAX,Los Angeles,pandemic_restriction,Pandemic-related port restriction,0.647,72,287,2029241,3,2.66,157,AB-0003,immune_memory,resolved
DIS-0124,2024-11-15 00:00,SG-SIN,Singapore,rail_disruption,Rail network disruption — ICD connectivity lost,0.293,336,475,6984414,1,1.06,694,NEW,document_intel,resolved
DIS-0125,2023-09-04 00:00,ZA-DUR,Durban,fuel_price_spike,Fuel price spike — bunker surcharge increased,0.218,12,478,1270395,3,0.98,15,AB-0004,immune_memory,resolved
DIS-0126,2025-03-05 00:00,MY-PTG,Port Klang,fuel_price_spike,Fuel price spike — bunker surcharge increased,0.517,4,344,4162582,1,1.05,7,AB-0005,sensor_network,monitoring
DIS-0127,2024-01-10 00:00,IN-KOL,Kolkata Port,warehouse_fire,Warehouse fire — cargo damaged/destroyed,0.911,24,457,4977620,1,1.33,59,AB-0004,immune_memory,ongoing
DIS-0128,2024-12-16 00:00,IN-PAR,Paradip Port,weather_cyclone,Cyclone warning — vessel rerouting required,0.852,120,231,2880226,5,0.95,287,AB-0002,document_intel,resolved
DIS-0129,2023-11-24 00:00,IN-TUT,Tuticorin Port,geopolitical_tension,Geopolitical tension — route advisory issued,0.774,120,205,1616054,6,2.92,213,AB-0001,document_intel,resolved
DIS-0130,2023-03-19 00:00,IN-MUN,Mundra Port,customs_delay,Customs clearance delay — documentation backlog,0.539,8,488,1156926,0,3.49,19,AB-0005,manual,resolved
DIS-0131,2024-11-23 00:00,IN-KOC,Kochi Port,warehouse_fire,Warehouse fire — cargo damaged/destroyed,0.941,48,139,1037218,2,2.29,69,AB-0005,immune_memory,resolved
DIS-0132,2024-02-04 00:00,JP-YOK,Yokohama,rail_disruption,Rail network disruption — ICD connectivity lost,0.679,168,226,1697707,3,2.93,206,AB-0003,immune_memory,ongoing
DIS-0133,2023-08-07 00:00,IN-KND,Kandla Port,warehouse_fire,Warehouse fire — cargo damaged/destroyed,0.823,168,475,4493464,3,1.85,416,AB-0002,manual,ongoing
DIS-0134,2024-03-05 00:00,MY-PTG,Port Klang,fuel_price_spike,Fuel price spike — bunker surcharge increased,0.524,12,417,2813194,2,2.67,22,AB-0001,immune_memory,resolved
DIS-0135,2025-04-19 00:00,KR-BUS,Busan,customs_delay,Customs clearance delay — documentation backlog,0.682,24,241,2361781,7,2.1,57,AB-0002,document_intel,ongoing
DIS-0136,2023-04-30 00:00,TH-LCH,Laem Chabang,weather_cyclone,Cyclone warning — vessel rerouting required,0.942,336,348,2025010,8,0.86,453,NEW,immune_memory,monitoring
DIS-0137,2023-12-05 00:00,IN-MUN,Mundra Port,container_shortage,Container shortage — 40ft HC unavailable,0.511,168,207,2376330,3,2.01,286,AB-0004,sensor_network,resolved
DIS-0138,2024-06-06 00:00,IN-HAZ,Hazira Port,warehouse_fire,Warehouse fire — cargo damaged/destroyed,0.952,336,42,538322,2,2.35,516,NEW,immune_memory,resolved
DIS-0139,2025-04-17 00:00,IN-HAZ,Hazira Port,weather_cyclone,Cyclone warning — vessel rerouting required,1.0,8,103,727465,6,0.55,14,AB-0004,document_intel,monitoring
DIS-0140,2024-03-25 00:00,IN-KOC,Kochi Port,rail_disruption,Rail network disruption — ICD connectivity lost,0.624,12,428,6050799,4,0.69,19,AB-0005,immune_memory,ongoing
DIS-0141,2025-03-17 00:00,IN-VIZ,Visakhapatnam Port,cyber_attack,Cyber attack on port community system,0.561,48,395,1852315,1,3.05,88,AB-0005,sensor_network,ongoing
DIS-0142,2023-05-24 00:00,NL-RTM,Rotterdam,equipment_failure,Crane/equipment failure — berth throughput reduced,0.638,48,366,1130959,2,1.59,60,AB-0003,manual,ongoing
DIS-0143,2023-05-18 00:00,ZA-DUR,Durban,customs_delay,Customs clearance delay — documentation backlog,0.754,120,252,882535,2,1.17,176,AB-0003,immune_memory,resolved
DIS-0144,2023-09-21 00:00,MY-PTG,Port Klang,container_shortage,Container shortage — 40ft HC unavailable,0.523,24,461,4352196,0,3.43,40,NEW,immune_memory,resolved
DIS-0145,2025-03-20 00:00,JP-YOK,Yokohama,labor_strike,Labor union strike — port operations halted,0.711,48,125,990888,7,2.03,106,AB-0002,crowdsource,resolved
DIS-0146,2025-04-15 00:00,IN-PAR,Paradip Port,warehouse_fire,Warehouse fire — cargo damaged/destroyed,0.958,12,36,369929,3,0.53,27,AB-0005,manual,resolved
DIS-0147,2023-08-17 00:00,NL-RTM,Rotterdam,warehouse_fire,Warehouse fire — cargo damaged/destroyed,0.832,4,232,2128139,8,3.14,9,AB-0002,document_intel,resolved
DIS-0148,2025-04-17 00:00,JP-YOK,Yokohama,warehouse_fire,Warehouse fire — cargo damaged/destroyed,1.0,48,199,1579236,3,3.22,65,AB-0003,crowdsource,resolved
DIS-0149,2025-02-08 00:00,IN-KND,Kandla Port,cyber_attack,Cyber attack on port community system,0.66,48,402,2240125,4,1.96,101,AB-0003,manual,monitoring
DIS-0150,2024-02-04 00:00,US-LAX,Los Angeles,cyber_attack,Cyber attack on port community system,0.659,24,165,1767534,5,2.16,38,NEW,immune_memory,resolved
DIS-0151,2025-02-21 00:00,CN-SHA,Shanghai,warehouse_fire,Warehouse fire — cargo damaged/destroyed,0.688,72,122,1440789,2,2.89,93,AB-0002,crowdsource,resolved
